ticker,status,rows
RELIANCE.NS,OK,989
TCS.NS,OK,989
HDFCBANK.NS,OK,989
BHARTIARTL.NS,OK,989
ICICIBANK.NS,OK,989
INFY.NS,OK,989
SBIN.NS,INSUFFICIENT_DATA,0
HINDUNILVR.NS,OK,989
ITC.NS,OK,989
KOTAKBANK.NS,OK,989
LT.NS,OK,989
AXISBANK.NS,OK,989
BAJFINANCE.NS,OK,989
MARUTI.NS,OK,989
NTPC.NS,OK,989
ONGC.NS,INSUFFICIENT_DATA,0
POWERGRID.NS,OK,989
ULTRACEMCO.NS,OK,989
WIPRO.NS,OK,989
HCLTECH.NS,OK,989
SUNPHARMA.NS,OK,989
TITAN.NS,OK,989
ADANIENT.NS,OK,989
ADANIPORTS.NS,OK,989
COALINDIA.NS,OK,989
BAJAJFINSV.NS,OK,989
NESTLEIND.NS,OK,989
TATAMOTORS.NS,INSUFFICIENT_DATA,0
TATASTEEL.NS,OK,989
TECHM.NS,OK,989
ASIANPAINT.NS,OK,989
JSWSTEEL.NS,OK,989
INDUSINDBK.NS,OK,989
BRITANNIA.NS,OK,989
DIVISLAB.NS,OK,988
DRREDDY.NS,OK,989
CIPLA.NS,OK,989
EICHERMOT.NS,OK,989
HEROMOTOCO.NS,OK,989
BPCL.NS,OK,989
GRASIM.NS,OK,989
HINDALCO.NS,OK,989
M&M.NS,OK,989
TATACONSUM.NS,OK,989
APOLLOHOSP.NS,OK,989
BAJAJ-AUTO.NS,OK,989
DMART.NS,OK,989
VEDL.NS,OK,989
ICICIGI.NS,OK,989
ICICIPRULI.NS,OK,989
HDFCLIFE.NS,OK,989
SBILIFE.NS,OK,989
MOTHERSON.NS,OK,989
PIDILITIND.NS,OK,989
SHRIRAMFIN.NS,OK,989
CHOLAFIN.NS,OK,989
MUTHOOTFIN.NS,OK,989
HAVELLS.NS,OK,989
BERGEPAINT.NS,OK,989
GODREJCP.NS,OK,989
DABUR.NS,OK,989
MARICO.NS,OK,989
COLPAL.NS,OK,989
GLAXO.NS,OK,989
TORNTPHARM.NS,OK,989
BIOCON.NS,OK,989
LUPIN.NS,OK,989
ZYDUSLIFE.NS,OK,989
MANKIND.NS,INSUFFICIENT_DATA,743
MAXHEALTH.NS,OK,989
FORTIS.NS,OK,989
INDIGO.NS,OK,988
TATACOMM.NS,OK,989
LTIM.NS,INSUFFICIENT_DATA,0
MPHASIS.NS,OK,989
COFORGE.NS,OK,989
PERSISTENT.NS,OK,989
OFSS.NS,OK,989
NAUKRI.NS,OK,989
ZOMATO.NS,INSUFFICIENT_DATA,0
PAYTM.NS,OK,989
POLICYBZR.NS,OK,988
IRCTC.NS,OK,989
GMRAIRPORT.NS,OK,989
ADANIGREEN.NS,OK,989
ADANITRANS.NS,INSUFFICIENT_DATA,0
ADANIPOWER.NS,OK,989
TRENT.NS,OK,989
VOLTAS.NS,OK,989
CUMMINSIND.NS,OK,989
ABB.NS,OK,989
SIEMENS.NS,OK,988
BEL.NS,OK,989
HAL.NS,OK,989
BHEL.NS,OK,989
CONCOR.NS,OK,989
GAIL.NS,OK,989
IOC.NS,OK,989
HINDPETRO.NS,OK,989
